Job Title,Company Name,Job URL,Skills,Requirements,Job Type
Software Engineer - SQL Database,"The Shams Group,",https://www.rozee.pk/the-shams-group-software-engineer-sql-database-islamabad-faisalabad-hyderabad-karachi-lahore-multan-peshawar-quetta-jobs-1570546?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1570546&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,"End to End Sales, Microsoft SQL Database, Software Development, Data Management, HTML, JavaScript, .NET Framework, PowerShell","Bachelors degree in Computer Science or relevant field; Minmum of 3 years of proven work experience as a Database developer; In-depth understanding of data management (e.g. permissions, recovery, security and monitoring); Knowledge of software development and user interface web applications; Hands-on experience as a Microsoft SQL Database Developer; Familiarity working with .Net Framework, JavaScript, HTML and PowerShell; Excellent analytical and organization skills; An ability to understand front-end users requirements and a problem-solving attitude; Excellent verbal and written communication skills; Ability to work in a remote environment with a global team",Full Time/Permanent
Software Engineer,"Digi Soft,",https://www.rozee.pk/digi-soft-software-engineer-karachi-jobs-1569468?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1569468&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,"AngularJS, MVC, RESTful APIs, ASP.net",,Full Time/Permanent
Software Quality Assurance Engineer,"E2E Worx,",https://www.rozee.pk/e2e-worx-software-quality-assurance-engineer-lahore-jobs-1566938?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1566938&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,"Software Quality Checking, Software Quality Assurance, Software Quality, Quality Improvement, Software Quality Review",,Full Time/Permanent
Software Quality Assurance Engineer,"Broadstone Technologies,",https://www.rozee.pk/broadstone-technologies-software-quality-assurance-engineer-lahore-jobs-1566690?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1566690&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,"Software Quality Review, Agile Programming, Software Life Cycle Testing, Communication Skills, Cross Browser Compatibility, White Box Testing","Strong knowledge of Software QA tools and processes, including Agile/Scrum methodologies and test-driven development (TDD) practices.; Experience across mobile apps, cross-browser, and usability testing.; Hands-on experience with both white box and black-box testing.; Proficiency in bug tracking and project management tools is essential: Jira, OpenProject, or similar.; Experience in writing clear and comprehensive test plans and test cases.; Experience with test code automation will be a plus.",Full Time/Permanent
Software Quality Assurance Engineer,"Musketeers Tech,",https://www.rozee.pk/musketeers-tech-software-quality-assurance-engineer-lahore-jobs-1572278?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1572278&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,"Test Automation, Selenium, Jira Configuration, Quality Assurance, Manual Testing, Regression Testing, Performance Testing, Selenium WebDriver, Automated Testing, JMeter",,2 Years
Software Quality Assurance Engineer,"Modisoft,",https://www.rozee.pk/modisoft-software-quality-assurance-engineer-karachi-jobs-1574628?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1574628&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Performance Testing,,2 Years
Software Engineer,"St. Michael Llc,",https://www.rozee.pk/st-michael-llc-software-engineer-karachi-jobs-1574384?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1574384&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,"Java, C++, JavaScript",,No Preference
IT Support Engineer,"MMBA Chartered Certified Accountants,",https://www.rozee.pk/mmba-chartered-certified-accountants-it-support-engineer-islamabad-jobs-1572354?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1572354&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,"Microsoft Online, IT Infrastructure Management, IT Infrastructure Operations, Microsoft Office, IP Networking, IT Support, Configuring Software, IT Hardware Support, Microsoft Outlook, Communication Skills, Microsoft Azure, Software Quality Review",,Full Time/Permanent
Mechanical Engineer,"Lockersmiths (Pvt) Ltd,",https://www.rozee.pk/lockersmiths-pvt-ltd-mechanical-engineer-gujranwala-jobs-1573590?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1573590&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,"Team Building, MS Excel, Production Coordination, 3D Modeling, CAD Software and Design Tools, Sheet Metal Analysis",,Full Time/Permanent
Software Engineer,"Croem Inc,",https://www.rozee.pk/croem-inc-software-engineer-islamabad-jobs-1575616?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1575616&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,DotNet,,5 Years
