Title,URL,Views,Channel,Upload Date,Duration
How To Earn 200$ with Deepseek AI (FREE) | Create Tool Website Using Deepseek AI | Deepseek R1,https://www.youtube.com/watch?v=6Y287V4PPUI&pp=ygUIRGVlcHNlZWs%3D,18K views,,4 days ago,
รู้จัก DeepSeek AI น้องใหม่ ทำไมถึงมาแรงยิ่งกว่าม้ามืด I Ceemeagain,https://www.youtube.com/watch?v=OMi23SYvfO4&pp=ygUIRGVlcHNlZWs%3D,87K views,,2 weeks ago,
DeepSeek AI Kya Hai? #deepseek #sscutkarsh #shorts,https://www.youtube.com/shorts/i3RQV3mK3KY,28K views,,2 weeks ago,
Should you sell Nvidia’s stock? #nvidia #ai #deepseek #stockmarket,https://www.youtube.com/shorts/KqmSIIISTDw,25K views,,2 weeks ago,
Deepseek R1 671b Local Ai Takes How Much Power?! 👀⚡💸,https://www.youtube.com/shorts/8bPn0Yl-PK4,101K views,,2 weeks ago,
【DeepSeek】米テックを抜く？AI専門家「超すごい」開発コストの安さとド根性に驚愕…スターゲート計画は？東大で7千人受講希望の研究者が解説｜アベヒル,https://www.youtube.com/watch?v=M1OvmjV0nc8&pp=ygUIRGVlcHNlZWs%3D,164K views,,2 weeks ago,
DeepSeek stole our tech... says OpenAI,https://www.youtube.com/watch?v=hpwoGjpYygI&pp=ygUIRGVlcHNlZWs%3D,2.3M views,,2 weeks ago,4:51
HOW TO MAKE MONEY WITH GOOGLE & DEEPSEEK (Step By Step Tutorial),https://www.youtube.com/watch?v=17kbiDWW14E&pp=ygUIRGVlcHNlZWs%3D,34K views,,9 days ago,30:00
DeepSeek-R1 Logo Design is INSANE 🐳💥,https://www.youtube.com/shorts/Sy2tBraY0EM,6.4K views,,2 weeks ago,
DEEPSEEK AI CHINA KALAHKAN ChatGPT DAN BIKIN SAHAM AMERIKA ANJLOK RIBUAN TRILIUN,https://www.youtube.com/watch?v=cVQcmJnbB0o&pp=ygUIRGVlcHNlZWs%3D,287K views,,2 weeks ago,
Deepseek DEEP Agent: This AI Agent CAN CONTROL 1000s OF BROWSERS AT ONCE! (Deep Research),https://www.youtube.com/watch?v=cUsSAxwEs8Y&pp=ygUIRGVlcHNlZWs%3D,33K views,,8 days ago,
How Did China Build AI So Fast? #shorts #mangeshshinde #deepseek,https://www.youtube.com/shorts/Rh9NCEzsl8w,424K views,,2 weeks ago,
1Task = $166 Earn DeepSeek Make Money Online,https://www.youtube.com/watch?v=-GSGManhfyA&pp=ygUIRGVlcHNlZWs%3D,93K views,,2 weeks ago,
DeepSeek R1 on M4 MacBook Pro | fail,https://www.youtube.com/shorts/CSSvJhRiP18,96K views,,2 weeks ago,
INSANE Deepseek R1 Bias! Use with caution #genai #deepseek #opensource,https://www.youtube.com/shorts/hoe85EVbpec,105K views,,3 weeks ago,
