,semester,sex,exam1,exam2,exam3,course_grade
1,2000,0,84.5,69.5,86.5,76.2564
2,2000,0,80,74,67,75.3882
3,2000,0,56,70,71.5,67.0564
4,2000,0,64,61,67.5,63.4538
5,2000,0,90.5,72.5,75,72.3949
6,2000,0,74,78.5,84.5,71.4128
7,2000,0,60.5,44,58,56.0949
8,2000,0,89,82,88,78.0103
9,2000,1,87.5,86.5,95,82.9026
10,2000,0,91,98,88,89.0846
11,2000,0,79.5,88,56,72.9769
12,2000,0,96,91.5,78,82.5282
13,2000,0,55,79.5,72,69.9872
14,2000,0,80,83.5,70,67.7256
15,2000,1,64.5,83.5,77,80.3051
16,2000,0,73,90,96,74.8744
17,2000,0,83,79,65,71.1615
18,2000,0,72,91,90,76.5615
19,2000,1,57.9,53,47,56.9903
20,2000,0,89,83.5,78.5,80.8026
21,2000,1,69,57,88,69.4308
22,2000,1,91,91,95.5,92.0051
23,2000,0,68,84.5,64,67.9051
24,2000,0,83,89.5,93,79.7872
25,2000,0,72,77.5,67,67.1256
26,2000,0,56,45,61,58.6308
27,2000,0,55,71,72,67.8308
28,2000,1,68.5,64,93,77.6903
29,2000,0,68.5,79.5,50.5,69.9308
30,2000,0,70,71,76,69.6769
31,2000,0,75,81,81.5,68.0923
32,2000,0,68.5,66,58,60.3128
33,2000,0,54,84,88,72.3821
34,2000,0,79.6,67,72,67.4787
35,2000,0,85,61,44.5,66.2364
36,2000,0,82,86.5,92.5,83.3231
37,2000,1,65,83.5,87,77.6436
38,2000,1,76,50,91.5,70.9462
39,2000,0,94.5,67,96,86.0133
40,2000,0,72,67,90,72.0269
41,2000,0,65.5,82.5,79,77.0282
42,2000,0,61.5,80.5,81.5,68.2821
43,2000,0,65,50,43.5,43.2733
44,2000,0,63,82,88,70.1031
45,2000,0,75,66.5,76,65.0846
46,2000,0,69.5,70.5,76,68.6538
47,2000,1,60,95,91,83.0508
48,2000,0,84,88,67,75.0856
49,2000,0,90,99.5,87.5,74.4718
50,2000,1,62.5,85.5,85.5,74.4821
51,2000,0,88.5,86.5,70,77.9526
52,2001,0,74.5,83,62.4,78.7554
53,2001,0,73.5,69.5,74.5,69.0228
54,2001,0,75,60.5,80.9,68.6502
55,2001,0,76.5,76,61,73.6702
56,2001,1,90.5,68,59,69.7842
57,2001,0,88,77.5,90.5,84.1474
58,2001,0,87.2727,58,28,49.1931
59,2001,0,81.9,86,62,73.9116
60,2001,0,65.5,90,61.8,68.5425
61,2001,1,84.5,80.5,72.5,81.2088
62,2001,0,88.9,67,76,80.5554
63,2001,0,70,56,81.5,68.7839
64,2001,0,73,48,55,65.3088
65,2001,0,86,77,82,79.6035
66,2001,0,68,60,59,58.4316
67,2001,1,82,74,81.5,76.6842
68,2001,0,86.4,72,69.5,67.5625
69,2001,0,74,83,79.9,74.573
70,2001,0,92.3,76,97,87.0288
71,2001,0,57,70,56,65.3947
72,2001,0,62.5,41,77.8,59.8863
73,2001,0,75.5,62.5,79.7,73.5435
74,2001,0,67,58,45.8,58.3828
75,2001,0,73,78,77.3,79.2354
76,2001,0,93,75,96,71.3228
77,2001,0,81.5,73,69.5,65.5295
78,2001,0,82.5,83.5,82.5,81.4474
79,2001,1,46.5,77,47,62.8842
80,2001,0,62,71,64,69.4702
81,2001,1,68.5,55.5,52,61.8263
82,2001,0,80,84,48.5,70.0947
83,2001,0,77,77,44,68.0404
84,2001,1,55,94,96,83.5193
85,2001,0,69,74.5,41.5,59.0386
86,2001,1,74,56,69.9,65.0204
87,2002,0,93,76,95.5,85.5
88,2002,0,81,78,79.5,75.7333
89,2002,0,98,87,85.5,86.5833
90,2002,0,92.5,81,74.5,77.2833
91,2002,0,83.5,60.5,78,73.6333
92,2002,0,98,92,90.5,91.8585
93,2002,0,80.5,53.5,67.5,62.9555
94,2002,0,80.9,68,67,72.76
95,2002,0,84.5,46,65.5,60.6167
96,2002,0,93.8,59.5,73.3,70.0067
97,2002,0,98,96.5,98.5,97.5667
98,2002,0,92,78.5,72,73.2833
99,2002,0,91,72,81,75.1167
100,2002,0,80,72,59.5,69.7
101,2002,0,94,84,98.5,88.8667
102,2002,0,90,73,63.5,72.9
103,2002,0,94,82,86.4,80.3267
104,2002,0,86.5,76,85.5,76.2
105,2002,0,87,76,72.5,70.7442
106,2002,0,80.3,88.5,83.5,85.97
107,2002,0,89.5,66.5,78.9,72.5267
108,2002,0,70.5,70.5,58,57
109,2002,0,89.4,84.5,82.5,83.8685
110,2002,1,79.5,56,81,68.25
111,2002,0,93.9,88,71,80.06
112,2002,0,73.5,78.5,72,77.0333
113,2002,0,94.8,84.5,77.5,84.17
114,2002,1,66,62,80.5,70.9333
115,2002,0,96.3,82,76,79.9867
116,2002,0,93.3,93,92.5,89.8033
117,2002,0,87.3,81,78.5,85.7367
118,2002,0,79,81,91,78.1222
119,2002,0,84,81,91,75.0333
120,2002,1,81,81.5,70,74.2167
121,2002,1,84.5,71.5,76,73.9833
122,2002,1,90.625,61.5,59.5,66.6958
123,2002,1,91.5,58,79.5,74.9888
124,2002,0,84,72.5,76,75.7
125,2003,0,73.2,44,50.9,47.9
126,2003,0,70.5,42.8,36.4,48.05
127,2003,1,92.9,88.5,79,86.65
128,2003,0,68.8,52.1,65.4,55.95
129,2003,0,91.3,71,79.5,77.825
130,2003,0,78.3,46.5,63.9,56.725
131,2003,0,71.3,43,67.4,58.375
132,2003,0,74.9,65.4,51.5,56.075
133,2003,0,90.5,71.5,69.5,78.5
134,2003,0,80.3,63,64,64.7
135,2003,1,79,74.5,72.5,68.325
136,2003,0,82.5,62.5,77.5,73.5
137,2003,0,79.7,84.4,77.3,75.55
138,2003,0,79.5,77.9,62,68.35
139,2003,0,79.5,68.7,87,81.75
140,2003,0,93,70.9,67.5,70.425
141,2003,0,88.5,79.5,82,80.5
142,2003,1,86,73,47,66
143,2003,0,93.8,68.5,66.4,74.875
144,2003,1,93.9,84,83.5,88.225
145,2003,0,83.3,83,78,82.575
146,2003,0,75.1,70,61,64.025
147,2003,0,92.9,83,84.5,84.15
148,2003,0,76.5,41.5,48,53.075
149,2003,1,84.1,88.8,75.5,81.55
150,2003,0,87.9,58.2,67,63.525
151,2003,1,79.5,66,67.5,69.125
152,2003,0,82,53.5,52,54.5
153,2003,1,91.4,77,76,76.1
154,2003,0,84.9,69.5,37.3,60.3
155,2003,0,58,61,47.4,57.6
156,2003,0,81.5,57.5,65.8,60.325
157,2003,0,95,68,82.5,76.75
158,2003,0,95.5,80.5,84.3,75.775
159,2003,0,77.5,80.9,75,76.425
160,2003,0,82,46,54,53
161,2003,0,93.8,82.5,80.5,84.65
162,2004,0,89,83.5,92,77.1197
163,2004,0,82,78.5,82,61.7972
164,2004,0,73.5,80,82,73.5563
165,2004,0,73.5,82.8,79.5,69.9459
166,2004,1,79,86.5,97,80.5324
167,2004,0,71.5,71,58,62.4331
168,2004,0,92.5,92,93.5,82.2
169,2004,1,85.5,90.5,85,86.7901
170,2004,0,93,47,70,59.8218
171,2004,0,75.5,66,94,69.0648
172,2004,0,88.5,74,87,78.2085
173,2004,0,87,96,98.5,84.0577
174,2004,1,89.5,77.5,88.9,69.211
175,2004,0,97.5,94.5,76,78.931
176,2004,1,59,73,85.5,58.2606
177,2004,0,81,87,86.5,72.1352
178,2004,0,73.5,57.5,83,61.7713
179,2004,0,90.5,53,78.5,60.7915
180,2004,0,70,62.5,85,64.5225
181,2004,0,98.5,98,90,80.3761
182,2004,0,85.5,67,86,67.6535
183,2004,0,78,58,92.5,65.1831
184,2004,0,86.5,85,85,73.5972
185,2004,1,99.3,96,89,91.4868
186,2004,0,90.5,78.5,79.5,73.0634
187,2004,0,86.5,67.5,85.5,70.0746
188,2004,0,80,94,90.5,88.431
189,2004,0,72,95,78,77.3507
190,2004,0,72.5,69.5,92,73.5648
191,2004,0,77.5,74,82,73.1493
192,2004,0,74,49.5,82,64.669
193,2004,0,79,80.5,80.5,71.9845
194,2004,0,80,82,77,67.7986
195,2004,0,97.4,66.9,83,74.9276
196,2004,0,61.5,64.5,86,63.7651
197,2004,0,86,67,96.8,73.7346
198,2005,1,75.7143,62.6,45.5556,59.5549
199,2005,1,80.7143,38,78.3333,65.2202
200,2005,1,88.2143,75.1,70,72.367
201,2005,0,81.7857,76,68.3333,74.112
202,2005,0,96.0714,68.1,74.4444,70.4423
203,2005,0,NA,58,78.3333,46.7231
204,2005,0,73.5714,62.1,97.7778,69.103
205,2005,0,71.0714,41.5,55.5556,53.9348
206,2005,0,66.4286,59.1,85.5556,68.5149
207,2005,0,85.7143,77.1,83.3333,79.881
208,2005,1,88.9286,72,93.3333,82.3626
209,2005,0,65.7143,60.5,30,48.5152
210,2005,0,92.5,63.5,92.7778,80.3655
211,2005,1,86.0714,77.5,96.6667,80.3527
212,2005,0,75,71.9,88.3333,70.3606
213,2005,0,95.7143,90.1,98.8889,93.3003
214,2005,0,88.9286,52.5,62.5,61.1081
215,2005,0,94.6429,90,90,87.6431
216,2005,0,92.5,80,96.1111,87.9477
217,2005,1,91.0714,39.5,78.8889,67.9143
218,2005,0,92.8571,73.5,92.1111,86.2788
219,2005,1,86.0714,45.5,55.5556,59.8701
220,2005,0,87.1429,81.6,73.8889,76.4304
221,2005,0,74.2857,52.6,47.2222,56.3211
222,2005,0,95.7143,78,84.4444,83.2086
223,2005,0,83.2143,64.6,58.8889,68.0731
224,2005,0,85,78.1,82.2222,70.5416
225,2005,0,85.7143,68.1,72,66.1202
226,2005,1,94.6429,94.5,96.1111,90.719
227,2005,0,90.7143,77.5,78.2222,77.534
228,2005,0,86.4286,70.1,88.3333,74.5553
229,2005,0,98.2143,89.1,71.1111,85.5208
230,2005,1,95,86,78.3333,83.6959
231,2005,0,97.1429,53.5,67.2222,72.1189
232,2005,0,85,63,75,67.1996
233,2005,0,72.8571,48.5,90.5556,66.4035
